SYMBOL,title
^NSEI,NIFTY 50
20MICRONS,20MICRONS: 20 Microns Limited
21STCENMGM,21STCENMGM: 21st Century Management Services Limited
360ONE,360ONE: 360 ONE WAM LIMITED
3IINFOLTD,3IINFOLTD: 3i Infotech Limited
3MINDIA,3MINDIA: 3M India Limited
3PLAND,3PLAND: 3P Land Holdings Limited
5PAISA,5PAISA: 5Paisa Capital Limited
63MOONS,63MOONS: 63 moons technologies limited
A2ZINFRA,A2ZINFRA: A2Z Infra Engineering Limited
AAATECH,AAATECH: AAA Technologies Limited
AADHARHFC,AADHARHFC: Aadhar Housing Finance Limited
AAKASH,AAKASH: Aakash Exploration Services Limited
AAREYDRUGS,AAREYDRUGS: Aarey Drugs & Pharmaceuticals Limited
AARON,AARON: Aaron Industries Limited
AARTECH,AARTECH: Aartech Solonics Limited
AARTIDRUGS,AARTIDRUGS: Aarti Drugs Limited
AARTIIND,AARTIIND: Aarti Industries Limited
AARTIPHARM,AARTIPHARM: Aarti Pharmalabs Limited
AARTISURF,AARTISURF: Aarti Surfactants Limited
AARVEEDEN,AARVEEDEN: Aarvee Denims & Exports Limited
AARVI,AARVI: Aarvi Encon Limited
AAVAS,AAVAS: Aavas Financiers Limited
ABAN,ABAN: Aban Offshore Limited
ABB,ABB: ABB India Limited
ABBOTINDIA,ABBOTINDIA: Abbott India Limited
ABCAPITAL,ABCAPITAL: Aditya Birla Capital Limited
ABDL,ABDL: Allied Blenders and Distillers Limited
ABFRL,ABFRL: Aditya Birla Fashion and Retail Limited
ABMINTLLTD,ABMINTLLTD: ABM International Limited
ABSLAMC,ABSLAMC: Aditya Birla Sun Life AMC Limited
ACC,ACC: ACC Limited
ACCELYA,ACCELYA: Accelya Solutions India Limited
ACCURACY,ACCURACY: Accuracy Shipping Limited
ACE,ACE: Action Construction Equipment Limited
ACEINTEG,ACEINTEG: Ace Integrated Solutions Limited
ACI,ACI: Archean Chemical Industries Limited
ACL,ACL: Andhra Cements Limited
ACLGATI,ACLGATI: Allcargo Gati Limited
ADANIENSOL,ADANIENSOL: Adani Energy Solutions Limited
ADANIENT,ADANIENT: Adani Enterprises Limited
ADANIGREEN,ADANIGREEN: Adani Green Energy Limited
ADANIPORTS,ADANIPORTS: Adani Ports and Special Economic Zone Limited
ADANIPOWER,ADANIPOWER: Adani Power Limited
ADFFOODS,ADFFOODS: ADF Foods Limited
ADL,ADL: Archidply Decor Limited
ADORWELD,ADORWELD: Ador Welding Limited
ADROITINFO,ADROITINFO: Adroit Infotech Limited
ADSL,ADSL: Allied Digital Services Limited
ADVANIHOTR,ADVANIHOTR: Advani Hotels & Resorts (India) Limited
ADVENZYMES,ADVENZYMES: Advanced Enzyme Technologies Limited
AEGISLOG,AEGISLOG: Aegis Logistics Limited
AEROFLEX,AEROFLEX: Aeroflex Industries Limited
AETHER,AETHER: Aether Industries Limited
AFFLE,AFFLE: Affle (India) Limited
AFIL,AFIL: Akme Fintrade (India) Limited
AGARIND,AGARIND: Agarwal Industrial Corporation Limited
AGI,AGI: AGI Greenpac Limited
AGIIL,AGIIL: Agi Infra Limited
AGRITECH,AGRITECH: Agri-Tech (India) Limited
AGROPHOS,AGROPHOS: Agro Phos India Limited
AGSTRA,AGSTRA: AGS Transact Technologies Limited
AHL,AHL: Abans Holdings Limited
AHLADA,AHLADA: Ahlada Engineers Limited
AHLEAST,AHLEAST: Asian Hotels (East) Limited
AHLUCONT,AHLUCONT: Ahluwalia Contracts (India) Limited
AIAENG,AIAENG: AIA Engineering Limited
AIIL,AIIL: Authum Investment & Infrastructure Limited
AIRAN,AIRAN: Airan Limited
AIROLAM,AIROLAM: Airo Lam limited
AJANTPHARM,AJANTPHARM: Ajanta Pharma Limited
AJMERA,AJMERA: Ajmera Realty & Infra India Limited
AJOONI,AJOONI: Ajooni Biotech Limited
AKASH,AKASH: Akash Infra-Projects Limited
AKG,AKG: Akg Exim Limited
AKI,AKI: AKI India Limited
AKSHAR,AKSHAR: Akshar Spintex Limited
